Date,Source,Site ID,POC,Daily.Max.8.hour.CO.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/22/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/23/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/24/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/25/2016,AQS,360010012,1,0.3,ppm,3,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/26/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/27/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/28/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/29/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,18,75,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/30/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
3/31/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/1/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/2/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/3/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/4/2016,AQS,360010012,1,0,ppm,0,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/5/2016,AQS,360010012,1,0,ppm,0,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/6/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/7/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/8/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/9/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/10/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/11/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/12/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/13/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
