Date,Source,Site_ID,POC,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/4/2016,AQS,360291013,3,8.4,ug/m3 LC,35,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/5/2016,AQS,360291013,3,6.8,ug/m3 LC,28,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/6/2016,AQS,360291013,3,6,ug/m3 LC,25,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/7/2016,AQS,360291013,3,2.5,ug/m3 LC,10,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/8/2016,AQS,360291013,3,1.6,ug/m3 LC,7,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/9/2016,AQS,360291013,3,4.2,ug/m3 LC,18,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/10/2016,AQS,360291013,3,4.8,ug/m3 LC,20,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/11/2016,AQS,360291013,3,14,ug/m3 LC,55,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/12/2016,AQS,360291013,3,1.8,ug/m3 LC,8,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/13/2016,AQS,360291013,3,2,ug/m3 LC,8,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/14/2016,AQS,360291013,3,2.6,ug/m3 LC,11,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/15/2016,AQS,360291013,3,7,ug/m3 LC,29,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/16/2016,AQS,360291013,3,6.7,ug/m3 LC,28,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/17/2016,AQS,360291013,3,3.6,ug/m3 LC,15,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/18/2016,AQS,360291013,3,6.7,ug/m3 LC,28,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/19/2016,AQS,360291013,3,10,ug/m3 LC,42,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/20/2016,AQS,360291013,3,17.4,ug/m3 LC,62,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/21/2016,AQS,360291013,3,3.2,ug/m3 LC,13,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/22/2016,AQS,360291013,3,4.9,ug/m3 LC,20,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/23/2016,AQS,360291013,3,4.8,ug/m3 LC,20,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/24/2016,AQS,360291013,3,6.5,ug/m3 LC,27,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/25/2016,AQS,360291013,3,7,ug/m3 LC,29,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/26/2016,AQS,360291013,3,13.7,ug/m3 LC,54,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/27/2016,AQS,360291013,3,9.8,ug/m3 LC,41,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/28/2016,AQS,360291013,3,3.7,ug/m3 LC,15,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/29/2016,AQS,360291013,3,5.9,ug/m3 LC,25,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
6/30/2016,AQS,360291013,3,7.1,ug/m3 LC,30,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
7/1/2016,AQS,360291013,3,10.7,ug/m3 LC,45,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
7/2/2016,AQS,360291013,3,6.1,ug/m3 LC,25,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
7/3/2016,AQS,360291013,3,10.1,ug/m3 LC,42,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
7/4/2016,AQS,360291013,3,10,ug/m3 LC,42,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
7/5/2016,AQS,360291013,3,15.6,ug/m3 LC,58,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
7/6/2016,AQS,360291013,3,8.7,ug/m3 LC,36,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
